Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Arctostaphylos	x repens		Ericaceae	Ericales	Dilleniidae	Pmc manzanita	ARRE8	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	rubra	"Arctous erythrocarpa, Arctostaphylos alpina var. rubra, Arctous rubra, Arctostaphylos alpina ssp. rubra"	Ericaceae	Ericales	Dilleniidae	Red fruit bearberry	ARRU	Shrub	Hardwood	Evergreen	Slow	Long	1
Arctostaphylos	rudis		Ericaceae	Ericales	Dilleniidae	Shagbark manzanita	ARRU2	Shrub	Hardwood	Evergreen	Slow		3
Arctostaphylos	silvicola		Ericaceae	Ericales	Dilleniidae	Bonny doon manzanita	ARSI	Shrub	Hardwood	Evergreen	Slow		8
Arctostaphylos	stanfordiana		Ericaceae	Ericales	Dilleniidae	Stanford's manzanita	ARST	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	tomentosa		Ericaceae	Ericales	Dilleniidae	Woollyleaf manzanita	ARTO2	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	uva-ursi	"Arctostaphylos uva-ursi ssp. monoensis, Arctostaphylos adenotricha, Arctostaphylos uva-ursi var. leobreweri, Uva-ursi uva-ursi, Arctostaphylos uva-ursi var. stipitata, Arctostaphylos uva-ursi var. pacifica, Arctostaphylos uva-ursi ssp. longipilosa, Arctostaphylos uva-ursi var. marinensis, Arctostaphylos uva-ursi ssp. coactilis, Arctostaphylos uva-ursi ssp. adenotricha, Arctostaphylos uva-ursi var. adenotricha, Arctostaphylos uva-ursi var. suborbiculata, Arctostaphylos uva-ursi ssp. stipitata, Arctostaphylos uva-ursi var. coactilis"	Ericaceae	Ericales	Dilleniidae	Kinnikinnick	ARUV	Shrub	Hardwood	Evergreen	Moderate	Long	1
Arctostaphylos	virgata		Ericaceae	Ericales	Dilleniidae	Bolinas manzanita	ARVI3	Shrub	Hardwood	Evergreen	Slow		25
Arctostaphylos	viridissima	Arctostaphylos pechoensis var. viridissima	Ericaceae	Ericales	Dilleniidae	Whitehair manzanita	ARVI7	Shrub	Hardwood	Evergreen	Slow		8
Arctostaphylos	viscida		Ericaceae	Ericales	Dilleniidae	Sticky white manzanita	ARVI4	Shrub or small tree	Hardwood	Evergreen	Slow	Moderate	25
Arctostaphylos	wellsii		Ericaceae	Ericales	Dilleniidae	Wells' manzanita	ARWE	Shrub	Hardwood	Evergreen	Slow		6
